symbol,title,summary,url,time_published,sentiment_score,source
OXY,3 No-Brainer Billionaire-Owned Stocks to Buy Right Now,Looking for investing inspiration? Combing through billionaires' portfolios is a great way to start.,https://www.fool.com/investing/2024/08/25/3-no-brainer-billionaire-owned-stocks-to-buy-right/,20240825T102000,0.264089,Motley Fool
OXY,Buffett's 3 Stock Picking Secrets,The investing legend became a billionaire by buying cheap or out-of-favor stocks and holding them for years. Tracey Ryniec highlights three secrets that can also help you find profitable value stocks at marked down prices.,https://www.zacks.com/stock/news/2326606/buffetts-3-stock-picking-secrets,20240823T174600,0.23718,Zacks Commentary
OXY,3 Warren Buffett Stocks That Are Screaming Buys Right Now,The Oracle of Omaha remains a great source of investment ideas for your portfolio.,https://www.fool.com/investing/2024/08/22/3-warren-buffett-stocks-that-are-screaming-buys/,20240822T114500,0.150546,Motley Fool
OXY,"All It Takes Is $1,000 Invested in Coca-Cola and Each of These 3 Warren Buffett Dividend Stocks to Generate Over $100 in Passive Income Per Year",There are plenty of ways to invest without targeting high-flying growth stocks.,https://www.fool.com/investing/2024/08/22/buy-warren-buffett-dividend-stocks-passive-income/,20240822T104300,0.245949,Motley Fool
OXY,Occidental Petroleum Is 85% of the Way Toward Achieving This Crucial Goal,The oil company is working to whittle down its debt.,https://www.fool.com/investing/2024/08/21/occidental-petroleum-is-85-of-the-way-towards-achi/,20240821T091700,0.014582,Motley Fool
OXY,Here Are All 45 Stocks Warren Buffett Holds for Berkshire Hathaway's $314 Billion Portfolio,"Despite the superficial appearance of being diversified, 79% of Berkshire Hathaway's $314 billion of invested assets can be traced to only eight brand-name holdings.",https://www.fool.com/investing/2024/08/21/45-stocks-warren-buffett-hold-berkshire-hathaway/,20240821T090600,0.230998,Motley Fool
OXY,Occidental Petroleum Options Trading: A Deep Dive into Market Sentiment - Occidental Petroleum  ( NYSE:OXY ) ,"Investors with a lot of money to spend have taken a bullish stance on Occidental Petroleum OXY. We noticed this today when the trades showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",https://www.benzinga.com/insights/options/24/08/40470490/occidental-petroleum-options-trading-a-deep-dive-into-market-sentiment,20240820T181614,0.196361,Benzinga
OXY,Warren Buffett Just Bought 7 Stocks. Here's the Best of the Bunch.,I can see why this stock is a Buffett favorite.,https://www.fool.com/investing/2024/08/20/warren-buffett-just-bought-7-stocks-heres-the-best/,20240820T084500,0.338819,Motley Fool
OXY,Warren Buffett Just Sold This Stock -- But I Think He's 100% Wrong,We recently got a look at what stocks Berkshire Hathaway bought and sold in the second quarter. Here's a move I think Buffett and his team will regret.,https://www.fool.com/investing/2024/08/19/warren-buffett-just-sold-this-stock-but-i-think-he/,20240819T121300,0.215317,Motley Fool
OXY,Here Are All 10 Stocks Warren Buffett Is Selling,A record-setting quarter for stock sales means a lot of brand-name companies were sent to the chopping block by Warren Buffett and his investment team.,https://www.fool.com/investing/2024/08/19/here-are-all-10-stocks-warren-buffett-is-selling/,20240819T084100,0.175667,Motley Fool
OXY,The Best Warren Buffett Stocks to Buy With $120 Right Now,You won't need much up-front cash to buy all three of these great stocks.,https://www.fool.com/investing/2024/08/18/the-best-warren-buffett-stocks-to-buy-with-100-rig/,20240818T094700,0.403409,Motley Fool
OXY,Meet the Unique Stock-Split Stock Warren Buffett Has More Than Tripled His Stake In,The Oracle of Omaha has increased Berkshire Hathaway's stake by 262% in the only brand-name company set to conduct a reverse-stock split.,https://www.fool.com/investing/2024/08/18/meet-stock-split-stock-warren-buffett-triple-stake/,20240818T084100,0.193066,Motley Fool
OXY,"These 4 Stocks Are Soaring In Premarket As Warren Buffett's Berkshire Hathaway Takes A Stake - Apple  ( NASDAQ:AAPL ) , Chubb  ( NYSE:CB ) ","In pre-market trading, shares of Ulta Beauty Inc. ULTA and Heico Corp HEI are experiencing a significant surge. This comes after Berkshire Hathaway Inc. BRK BRK announced an increase in its holdings in these companies.",https://www.benzinga.com/markets/equities/24/08/40388850/these-4-stocks-are-soaring-in-premarket-as-warren-buffetts-berkshire-hathaway-takes-a-stake,20240815T094817,0.48636,Benzinga
OXY,3 Stocks Prominent Billionaires Can't Stop Buying,"These professional investors are finding value in China, energy, and video games.",https://www.fool.com/investing/2024/08/15/3-stocks-prominent-billionaires-cant-stop-buying/,20240815T080500,0.273354,Motley Fool
OXY,"Warren Buffett Still Holds 400M Apple Shares, Reveals New Investments In Ulta Beauty And Heico - Elon Musk Calls Berkshire Hathaway's $277B Cash Reserves 'Wild' - Apple  ( NASDAQ:AAPL ) , Bank of America  ( NYSE:BAC ) ","Warren Buffett, the legendary investor, has disclosed significant stock sales by Berkshire Hathaway Inc. BRK BRK in the second quarter, including a substantial reduction in its Apple Inc. AAPL holdings. What Happened: Buffett's company sold over 389 million Apple shares in the second quarter, ...",https://www.benzinga.com/markets/equities/24/08/40385824/warren-buffett-still-holds-400m-apple-shares-reveals-new-investments-in-ulta-beauty-and-heico-el,20240815T033609,0.169577,Benzinga
OXY,Why Occidental Petroleum Is Selling Shares of This 9.5%-Yielding Dividend Stock,Occidental Petroleum is cashing in on its MLP.,https://www.fool.com/investing/2024/08/14/why-occidental-petroleum-is-selling-shares-of-this/,20240814T094200,0.060477,Motley Fool
